,source_taxon_name,latitude,longitude,ISO_A2,NAME_ES,searched_taxon_name,target_taxon_name,country_name,Estatus.Taxonómico,Nombre.Válido,Autoridad,Rango.Taxonómico,Familia,Forma.biológica
14510,Xylocopa sonorina,37.40604167,-122.0970267,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14516,Xylocopa sonorina,37.91632,-122.0694667,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14546,Xylocopa sonorina,37.40602167,-122.09699,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14554,Xylocopa sonorina,37.40605167,-122.0970017,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14562,Xylocopa sonorina,37.24617646,-121.8733398,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14585,Xylocopa sonorina,37.24643234,-121.8731042,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14594,Xylocopa sonorina,37.24575829,-121.8730073,US,Estados Unidos,Echium candicans,Echium candicans,Estados Unidos,Aceptado,Echium candicans,L. f.,Especie,Boraginaceae,Árbol|Arbusto
14742,Xylocopa sonorina,37.440415,-122.1484067,US,Estados Unidos,Encelia californica,Encelia californica,Estados Unidos,Aceptado,Encelia californica,Nutt.,Especie,Asteraceae,Arbusto|Herbácea
14769,Xylocopa sonorina,32.74694826,-117.2348288,US,Estados Unidos,Encelia californica,Encelia californica,Estados Unidos,Aceptado,Encelia californica,Nutt.,Especie,Asteraceae,Arbusto|Herbácea
14849,Xylocopa sonorina,33.67164167,-116.4085778,US,Estados Unidos,Encelia farinosa,Encelia farinosa,Estados Unidos|México,Aceptado,Encelia farinosa,A.Gray ex Torr.,Especie,Asteraceae,Arbusto|Herbácea
14898,Xylocopa sonorina,32.91697822,-117.1581516,US,Estados Unidos,Epilobium,Epilobium,Canadá|Estados Unidos,Aceptado,Epilobium,L.,Género,Onagraceae,Arbusto|Herbácea
14982,Xylocopa sonorina,34.0405251,-116.9411449,US,Estados Unidos,Epilobium canum,Epilobium canum,Estados Unidos,Aceptado,Epilobium canum,(Greene) P.H. Raven,Especie,Onagraceae,Arbusto|Herbácea
17224,Xylocopa sonorina,37.34110966,-122.0458549,US,Estados Unidos,Escallonia,Escallonia,Estados Unidos,Aceptado,Escallonia,Mutis ex L. f.,Género,Escalloniaceae,Árbol|Arbusto
17227,Xylocopa sonorina,37.27681667,-121.853225,US,Estados Unidos,Escallonia,Escallonia,Estados Unidos,Aceptado,Escallonia,Mutis ex L. f.,Género,Escalloniaceae,Árbol|Arbusto
17231,Xylocopa sonorina,37.25349167,-121.9013217,US,Estados Unidos,Escallonia,Escallonia,Estados Unidos,Aceptado,Escallonia,Mutis ex L. f.,Género,Escalloniaceae,Árbol|Arbusto
17232,Xylocopa sonorina,37.42124667,-122.1139417,US,Estados Unidos,Escallonia,Escallonia,Estados Unidos,Aceptado,Escallonia,Mutis ex L. f.,Género,Escalloniaceae,Árbol|Arbusto
17236,Xylocopa sonorina,37.77254081,-122.2520699,US,Estados Unidos,Escallonia rubra,Escallonia rubra,Estados Unidos,Aceptado,Escallonia rubra,(Ruiz & Pav.) Pers.,Especie,Escalloniaceae,Arbusto
17237,Xylocopa sonorina,37.7934138,-122.1952055,US,Estados Unidos,Escallonia rubra,Escallonia rubra,Estados Unidos,Aceptado,Escallonia rubra,(Ruiz & Pav.) Pers.,Especie,Escalloniaceae,Arbusto
17245,Xylocopa sonorina,37.28930585,-121.9854191,US,Estados Unidos,Escallonia rubra,Escallonia rubra,Estados Unidos,Aceptado,Escallonia rubra,(Ruiz & Pav.) Pers.,Especie,Escalloniaceae,Arbusto
17941,Xylocopa sonorina,37.386052,-122.083851,US,Estados Unidos,Fabaceae,Fabaceae,Canadá|Costa Rica|Estados Unidos|Grecia|Italia,Aceptado,Fabaceae,Lindl.,Familia,Fabaceae,
17957,Xylocopa sonorina,37.74834463,-121.9230626,US,Estados Unidos,Fabaceae,Fabaceae,Canadá|Costa Rica|Estados Unidos|Grecia|Italia,Aceptado,Fabaceae,Lindl.,Familia,Fabaceae,
17961,Xylocopa sonorina,37.21573833,-121.8796167,US,Estados Unidos,Fabaceae,Fabaceae,Canadá|Costa Rica|Estados Unidos|Grecia|Italia,Aceptado,Fabaceae,Lindl.,Familia,Fabaceae,
17985,Xylocopa sonorina,37.92397,-122.0363945,US,Estados Unidos,Fabales,Fabales,Estados Unidos,Aceptado,Fabales,Bromhead,Orden,,
